time,stcomp_vpxd_timestamp,source,hostname,stcomp_vpxd_subcomp_name,Max of stcomp_vpxd_comp_api_time (ST Charts)
2019-06-17T10:40:30.000Z,2019-06-17t10:40:33,10.146.13.19,cloud02-w3.stls.local,dopoststartup [vpxdclientpreload::preloadclientcontainerview()],3414
2019-06-17T10:40:30.000Z,2019-06-17t10:40:34,10.146.13.19,cloud02-w3.stls.local,dopoststartup [vpxdinvtstoragepod::populateactionhistory()],961
2019-06-17T10:40:25.000Z,2019-06-17t10:40:29,10.146.13.19,cloud02-w3.stls.local,serverapp::start [totaltime],34600
2019-06-17T10:40:25.000Z,2019-06-17t10:40:26,10.146.13.19,cloud02-w3.stls.local,start [vpxdinvthost::start()],2942
2019-06-17T10:40:25.000Z,2019-06-17t10:40:29,10.146.13.19,cloud02-w3.stls.local,start [vapiendpoint::start()],2231
2019-06-17T10:40:20.000Z,2019-06-17t10:40:20,10.146.13.19,cloud02-w3.stls.local,start [alarmmomanager::start()],23783
2019-06-17T10:40:20.000Z,2019-06-17t10:40:23,10.146.13.19,cloud02-w3.stls.local,start [vpxdvod::start()],1158
2019-06-17T10:40:20.000Z,2019-06-17t10:40:22,10.146.13.19,cloud02-w3.stls.local,start [vpxdauthorize::start()],1060
2019-06-17T10:39:55.000Z,2019-06-17t10:39:55,10.146.13.19,cloud02-w3.stls.local,serverapp::init [totaltime],71344
2019-06-17T10:39:55.000Z,2019-06-17t10:39:55,10.146.13.19,cloud02-w3.stls.local,[authtenant::tenantmanagerimpl::init()],6833
2019-06-17T10:39:55.000Z,2019-06-17t10:39:57,10.146.13.19,cloud02-w3.stls.local,start [vpxdtask::start()],1706
2019-06-17T10:39:45.000Z,2019-06-17t10:39:46,10.146.13.19,cloud02-w3.stls.local,[vpxddatastore::init2()],1333
2019-06-17T10:39:45.000Z,2019-06-17t10:39:45,10.146.13.19,cloud02-w3.stls.local,[vpxdinvthost::init3()],1177
2019-06-17T10:39:45.000Z,2019-06-17t10:39:47,10.146.13.19,cloud02-w3.stls.local,[healthupdatemanagermo::init()],740
2019-06-17T10:39:45.000Z,2019-06-17t10:39:48,10.146.13.19,cloud02-w3.stls.local,[vmcrypt::cryptomanagerimpl::init()],537
2019-06-17T10:39:40.000Z,2019-06-17t10:39:44,10.146.13.19,cloud02-w3.stls.local,[vpxdmanagedentity::init()],5732
2019-06-17T10:39:35.000Z,2019-06-17t10:39:37,10.146.13.19,cloud02-w3.stls.local,[alarmmomanager::init()],1617
2019-06-17T10:39:35.000Z,2019-06-17t10:39:35,10.146.13.19,cloud02-w3.stls.local,[vpxdinvtdomain::init2()],1564
2019-06-17T10:39:30.000Z,2019-06-17t10:39:33,10.146.13.19,cloud02-w3.stls.local,[vpxdinvtvm::init(dasprotmap)],8533
2019-06-17T10:39:30.000Z,2019-06-17t10:39:34,10.146.13.19,cloud02-w3.stls.local,[vpxdinvthost::init2()],950
2019-06-17T10:39:20.000Z,2019-06-17t10:39:24,10.146.13.19,cloud02-w3.stls.local,[vpxdinvthost::init()],2752
2019-06-17T10:39:20.000Z,2019-06-17t10:39:20,10.146.13.19,cloud02-w3.stls.local,[vpxddatastore::load()],2460
2019-06-17T10:39:15.000Z,2019-06-17t10:39:18,10.146.13.19,cloud02-w3.stls.local,[vpxdinvtvm::load()],8285
2019-06-17T10:39:10.000Z,2019-06-17t10:39:10,10.146.13.19,cloud02-w3.stls.local,[vpxdinvthost::loadfieldsfromdb()],7377
2019-06-17T10:39:00.000Z,2019-06-17t10:39:00,10.146.13.19,cloud02-w3.stls.local,[vpxdinvt::load()],4506
2019-06-17T10:39:00.000Z,2019-06-17t10:39:02,10.146.13.19,cloud02-w3.stls.local,[vpxdinvtdomain::load()],2246
2019-06-17T10:38:55.000Z,2019-06-17t10:38:56,10.146.13.19,cloud02-w3.stls.local,[vpxd::hostgateway::initmodule()],692
2019-06-17T10:38:50.000Z,2019-06-17t10:38:53,10.146.13.19,cloud02-w3.stls.local,[localizationmanagermo::init()],8533
2019-06-17T10:38:50.000Z,2019-06-17t10:38:54,10.146.13.19,cloud02-w3.stls.local,[clustermo::initevcmodes()],716
